tweet_id, favorite_count, retweet_count
825876512159186944,9924,1737
825829644528148480,12028,2336
825535076884762624,53995,16362
825147591692263424,17266,4186
825120256414846976,0,1168
825026590719483904,5910,1168
824796380199809024,0,5103
824775126675836928,14066,3276
824663926340194305,9941,1646
824325613288833024,11184,9890
824297048279236611,14232,3569
824025158776213504,4576,558
823939628516474880,10057,2541
823719002937630720,0,10362
823699002998870016,13211,2336
823581115634085888,12270,2445
823333489516937216,662,22
823322678127919110,14836,3717
823269594223824897,0,9233
822975315408461824,16372,3200
822872901745569793,124106,39917
822859134160621569,12455,2110
822647212903690241,0,5957
822610361945911296,13976,2735
822489057087389700,17115,5957
822462944365645825,26315,13156
822244816520155136,33123,9233
822163064745328640,0,4379
821886076407029760,10679,2142
821813639212650496,0,3127
821765923262631936,7905,1556
821522889702862852,7570,1633
821421320206483457,0,5129
821407182352777218,11107,3995
821153421864615936,236,9
821149554670182400,8111,1826
821107785811234820,9072,1974
821044531881721856,11962,2126
820837357901512704,0,6241
820749716845686786,29845,9218
820690176645140481,11586,3004
820494788566847489,0,523
820446719150292993,0,2394
820314633777061888,3159,523
820078625395449857,18650,5794
820013781606658049,0,1082
819952236453363712,5015,1082
819924195358416896,12238,4548
819711362133872643,12616,2875
819588359383371776,9156,1868
819347104292290561,6844,1116
819238181065359361,2138,379
819227688460238848,21798,6241
819015337530290176,0,34542
819015331746349057,0,17794
819006400881917954,43046,17794
819004803107983360,82709,34542
818646164899774465,0,19454
818627210458333184,21228,7058
818614493328580609,9300,2354
818588835076603904,0,5697
818536468981415936,10278,2272
818307523543449600,0,7463
818259473185828864,10423,2087
818145370475810820,11620,2369
817908911860748288,4609,740
817827839487737858,48649,25130
817777686764523521,10224,2521
817536400337801217,11127,2728
817502432452313088,0,3145
817423860136083457,31863,13598
817415592588222464,5297,889
817181837579653120,0,7868
817171292965273600,8313,1869
817120970343411712,11550,2413
817056546584727552,8141,1517
816829038950027264,0,4390
816816676327063552,9481,1896
816697700272001025,9244,2056
816450570814898180,28716,7463
816336735214911488,8167,1803
816091915477250048,8479,1989
816062466425819140,0,944
816014286006976512,0,4879
815990720817401858,4689,944
815966073409433600,21139,7868
815745968457060357,0,3859
815736392542261248,9309,2121
815639385530101762,7826,1553
815390420867969024,9828,3572
814986499976527872,7257,1186
814638523311648768,10694,2523
814578408554463233,0,5459
814530161257443328,8219,1740
814153002265309185,27261,8115
813944609378369540,0,2958
813910438903693312,8859,1731
813812741911748608,34642,13033
813800681631023104,7885,1649
813217897535406080,17693,6849
813202720496779264,8771,1705
813187593374461952,18837,4048
813172488309972993,8810,1809
813157409116065792,7383,2066
813142292504645637,8083,2243
813130366689148928,4261,418
813127251579564032,11214,2920
813112105746448384,9798,2568
813096984823349248,10038,3388
813081950185472002,9424,2596
813066809284972545,7543,1828
813051746834595840,19923,6861
812781120811126785,7154,1787
812709060537683968,6295,1352
812503143955202048,5743,1148
812466873996607488,7571,1802
812372279581671427,12938,3424
811985624773361665,6911,1312
811744202451197953,7165,1477
811647686436880384,5321,682
811627233043480576,12081,2853
811386762094317568,19872,5982
